"Solvent","InChIKey","Volume","δd","δp","δh","δt"
"Entity[""Chemical"", ""4Hydroxymethyl1,3Dioxolan2One""]","JFMGYULNQJPJCY-UHFFFAOYSA-N","Quantity[83.2, ""Centimeters""^3/""Moles""]","Quantity[17.9, Sqrt[""Megapascals""]]","Quantity[25.5, Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[35.68501085890265, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""4Methyl2Pentanol""]","WVYWICLMDOOCFB-UHFFFAOYSA-N","Quantity[127.2, ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[3.3, Sqrt[""Megapascals""]]","Quantity[12.3, Sqrt[""Megapascals""]]","Quantity[19.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""4Methyl2Pentanone""]","NTIZESTWPVYFNL-UHFFFAOYSA-N","Quantity[125.8, ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[17., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""4Octanol""]","WOFPPJOZXUTRAU-UHFFFAOYSA-N","Quantity[157., ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[3.3, Sqrt[""Megapascals""]]","Quantity[11.9, Sqrt[""Megapascals""]]","Quantity[20.1, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""5Methyl2Hexanone""]","FFWSICBKRCICMR-UHFFFAOYSA-N","Quantity[142.8, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Acetaldehyde""]","IKHGUXGNUITLKF-UHFFFAOYSA-N","Quantity[57.1, ""Centimeters""^3/""Moles""]","Quantity[14.7, Sqrt[""Megapascals""]]","Quantity[8., Sqrt[""Megapascals""]]","Quantity[11.3, Sqrt[""Megapascals""]]","Quantity[20.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""AceticAcid""]","QTBSBXVTEAMEQO-UHFFFAOYSA-N","Quantity[57.1, ""Centimeters""^3/""Moles""]","Quantity[14.5, Sqrt[""Megapascals""]]","Quantity[8., Sqrt[""Megapascals""]]","Quantity[13.5, Sqrt[""Megapascals""]]","Quantity[21.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""AceticAnhydride""]","WFDIJRYMOXRFFG-UHFFFAOYSA-N","Quantity[94.5, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[11.7, Sqrt[""Megapascals""]]","Quantity[10.2, Sqrt[""Megapascals""]]","Quantity[22.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Acetone""]","CSCPPACGZOOCGX-UHFFFAOYSA-N","Quantity[74., ""Centimeters""^3/""Moles""]","Quantity[15.5, Sqrt[""Megapascals""]]","Quantity[10.4, Sqrt[""Megapascals""]]","Quantity[7., Sqrt[""Megapascals""]]","Quantity[20.1, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Acetonitrile""]","WEVYAHXRMPXWCK-UHFFFAOYSA-N","Quantity[52.6, ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[18., Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[24.6, Sqrt[""Megapascals""]]"
