_raw_inchikey,_raw_smiles,_raw_molweight,_raw_smiles_standard,_raw_standard_molweight,_prototype_ECPF4_256_6,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,_feat_fr_Imine,_feat_fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine,_feat_maximalprojectionsize,_feat_minimalprojectionsize,_feat_molsurfaceareaVDWp,_feat_msareaVDWp,_feat_molsurfaceareaASAp,_feat_msareaASAp,_feat_ProtPolarSurfaceArea,_feat_Protpsa,_feat_Hacceptorcount,_feat_Hdonorcount,_feat_charge_cnt,_calc_chrg_per_vol,_calc_chrg_per_asa-
QRFXELVDJSDWHX-UHFFFAOYSA-N,C1(=CC=C(C=C1)OC)[NH3+].[I-],251.07,COC1=CC=C([NH3+])C=C1,124.162,0010010000000000000100000000000001000001000100000000000010000000000100000000000000000000000010000000001000010000000000000000000001000001000000000000000101000000000000001000000000010100000000000000000000000000000000000000000001000000000000000010000000000000,7,1,13.7,14.28,47.45,0,1,3,6,19,0,1,1,3,0,6,6,6,0,0,1,1.94,1,187,90,9,24.08,45.96,3.45,5.09,10.11,5.59,122.32,204.29,312.97,244.72,68.26,242.32,70.65,36.87,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.59,10.11,204.29,204.29,244.72,244.72,36.87,36.87,1,1,1,0.008175278,0.014649868
SQXJHWOXNLTOOO-UHFFFAOYSA-N,C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[I-],303.07,[NH3+]CC1=CC=C(C=C1)C(F)(F)F,176.162,0000010100000000000000000000000010000000000000000000000110000000001101000000000000000000000010000000000000000000000000111000000000000001000010100000000010000010001000000100000000100000000000000100000000000000000000010000000000000000000000000000000010000000,8,1,15.12,14.75,51.8,0,1,6,6,21,0,1,1,6,0,6,6,6,0,0,2,2.36,1,496,201,15,27.16,50.8,3.52,5.39,10.59,5.23,145.09,236.68,326.91,177.72,149.19,177.53,149.38,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.23,10.59,236.68,236.68,177.72,177.72,27.64,27.64,0,1,1,0.006892274,0.006702862
KOAGKPNEVYEZDU-UHFFFAOYSA-N,C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[I-],289.04,[NH3+]C1=CC=C(C=C1)C(F)(F)F,162.135,0000010000000000000100000000000000000001000000000000000010000000000101000000000000000000000010000000001000010000000000100000000100000001000000100000000010000010001000000100000000000000000000000000000000000000000000010000000000000000001000000010000000000000,7,1,13.18,12.94,46.96,0,1,5,6,18,0,1,1,5,0,6,6,6,0,0,1,2.18,1,340,152,13,23.91,46.91,3.48,4.78,9.5,5.02,128.06,206,302.03,189.88,112.15,146.27,155.76,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.02,9.5,206,206,189.88,189.88,27.64,27.64,0,1,1,0.00780884,0.00891663
MVPPADPHJFYWMZ-UHFFFAOYSA-N,C1=CC=C(C=C1)Cl,112.56,ClC1=CC=CC=C1,112.560,0001000000000000000000000000000000000000010000000000000000000000000100000000000000000000000010000000000000000000000000000001100000000001001000000000000000100000000000000000000000000000000000000000000000000000001000000000010001000000000000001000000000000000,6,0,11.06,12.19,30.86,0,1,1,6,12,0,1,1,1,0,6,6,6,0,0,0,1.82,1,71,42,5,20.07,39.07,3.56,4.24,8.27,3.45,95.95,152.22,265.34,119.76,145.58,265.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,8.27,152.22,152.22,119.76,119.76,0,0,0,0,0,0,0
CWJKVUQGXKYWTR-UHFFFAOYSA-N,CC(=[NH2+])N.[Br-],138.99,CC(N)=[NH2+],59.091,0000010010000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000010000001000000000000000000000000000000000000000000000000000,2,2,6.58,6.57,27.86,0,0,4,0,10,0,0,0,4,0,0,0,0,0,0,0,2.32,0,12,9,0,17.01,26.37,3.14,3.23,6.02,4.26,62.84,110.9,212.36,172.93,39.44,139.66,72.7,51.61,1,1,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,4.26,6.02,110.9,110.9,172.93,172.93,51.61,51.61,1,2,1,0.015913431,0.02535497
QJFMCHRSDOLMHA-UHFFFAOYSA-N,C1=CC=C(C=C1)C[NH3+].[Br-],188.07,[NH3+]CC1=CC=CC=C1,108.163,0001000000000000000000100000010000000000000000000000000110000000000100000000000000000000000010000000000000000000000000011000000000000001001000000000000000100000000000000000000000100000000000000100000000000000000000000000010000000000000000000000000010000000,7,1,12.63,13.66,45.82,0,1,2,6,18,0,1,1,2,0,6,6,6,0,0,1,2.13,1,122,64,7,24.65,42.12,3.52,4.68,9.2,5,113.17,186.95,272.92,196.91,76.01,227.04,45.88,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,9.2,186.95,186.95,196.91,196.91,27.64,27.64,0,1,1,0.008836264,0.013156164
PPCHYMCMRUGLHR-UHFFFAOYSA-N,C1=CC=C(C=C1)C[NH3+].[I-],235.07,[NH3+]CC1=CC=CC=C1,108.163,0001000000000000000000100000010000000000000000000000000110000000000100000000000000000000000010000000000000000000000000011000000000000001001000000000000000100000000000000000000000100000000000000100000000000000000000000000010000000000000000000000000010000000,7,1,12.63,13.66,45.82,0,1,2,6,18,0,1,1,2,0,6,6,6,0,0,1,2.13,1,122,64,7,24.65,42.12,3.52,4.68,9.2,5,113.17,186.95,272.92,196.91,76.01,227.04,45.88,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,9.2,186.95,186.95,196.91,196.91,27.64,27.64,0,1,1,0.008836264,0.013156164
XAKAQFUGWUAPJN-UHFFFAOYSA-N,[I-].[NH3+]CCC(O)=O,217.01,[NH3+]CCC(O)=O,90.101,0000000000000001000000000000000000011000000000000000000110000000000000000000001000000000000100000000000000000000000000000000000000000000001000000000000000001000100000000000000000000000000000000000000000000000000001000100000000000100000000000000000010000000,3,1,8.97,8.32,32,0,0,6,0,13,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,19.6,32.95,2.73,4.35,8.47,5.27,87.3,149.24,243.36,161.61,81.74,109.16,134.19,64.94,2,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5.27,8.47,149.24,149.24,161.61,161.61,64.94,64.94,2,2,1,0.011454754,0.012233912
KOECRLKKXSXCPB-UHFFFAOYSA-K,I[Bi](I)I,589.69,I[Bi](I)I,589.694,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000000000000000000,0,0,18.12,25.8,40.02,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,2.32,0,12,9,0,28.99,44.7,4.19,4.44,8.85,4.83,120.22,162.78,349.91,59.42,290.48,0,349.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,8.85,162.78,162.78,59.42,59.42,0,0,0,0,0,0,0
XQPRBTXUXXVTKB-UHFFFAOYSA-M,[I-].[Cs+],259.81,[I-],126.905,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,5.07,5.35,13.95,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.32,12.32,-1,-1,-1,-1,32.52,49.27,143.56,0,143.56,0,143.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,49.27,49.27,0,0,0,0,0,0,0,0,0
